track_id,hit_id
88,"[2594, 3551, 2667, 3635, 2748, 3714, 2829, 2889, 23493, 23584, 23663, 23744, 63599, 63639, 63676, 81468, 93346, 93376]"
89,"[2595, 3558, 2672, 3645, 2756, 3729, 23368, 23445, 23528, 23618, 52950, 63590, 81598, 81421, 93438, 245560, 249843]"
90,"[2600, 3570]"
91,"[102986, 2603, 2679, 2760, 2839, 21804, 21888, 21973, 22062, 63050, 63102, 63151, 81250, 93354]"
92,"[102979, 2610, 3573, 2680]"
93,"[2613, 2687]"
94,"[2617, 3580, 2682]"
95,"[102991, 2620, 2694, 2778, 21752, 23375, 21840, 23447]"
96,"[103001, 103000, 2622, 2695, 2780, 21756, 21843, 21917, 52777, 63076, 81238, 93186, 245646, 249972]"
97,"[103027, 2644, 21656, 21711, 21791, 52748, 81204, 93164, 239238, 242174, 245686, 250009]"
98,"[2718, 3691, 3771, 3851, 3919, 23549, 23634, 23719, 23792, 63660, 64125, 63695, 64173, 63735, 81662, 93513]"
99,"[2785, 2858, 2977, 3040, 22081, 23695, 22169, 23778, 23887, 23998, 63719, 63792]"
100,"[2856, 2915, 2984, 22019, 23631, 22102, 22189, 63160, 63224, 81311, 93357]"
101,"[2901, 2962, 3030, 3092, 22157, 22263, 22379, 63242, 63295, 63346, 81322, 81368]"
102,"[2947, 3941, 3019, 3081, 3151, 23753, 22249, 23858, 22367, 23968, 24088, 63757, 63830, 63902, 81546]"
103,"[2951, 3022, 3082, 3150, 22244, 22362, 22462, 22563]"
104,"[3008, 4002, 3070, 4083, 3140, 3219, 22238, 23836, 22350, 23948, 24075, 24186, 63808, 63324]"
105,"[3046, 4065, 3112, 4139, 3194, 4229, 4315, 27223, 27332, 24029, 24149, 24270, 24397, 64436]"
106,"[3052, 4071, 3120, 4146, 3205, 4239, 3286, 4325, 27229, 27341, 24049, 24171, 24286, 24421, 63920, 64002]"
107,"[3053, 3119, 3201]"
108,"[3993, 3057, 4077, 3127, 4153, 4248, 27231, 23936, 24061, 24177, 24299]"
109,"[3094, 3171, 4207, 3259, 4291, 3351, 3446, 27311, 25726, 27419, 27532, 24236, 24362, 24480, 24570]"
110,"[3099, 3176, 3262, 3356, 3454, 25600, 25730, 25859, 22593, 24239, 22708, 24363, 22797, 22901]"
111,"[3100, 4124, 3180, 4212, 3267, 4298, 3358, 4384, 25603, 27321, 27432, 24132, 24254, 24382, 24497]"
112,"[3109, 4129, 3188, 3272, 3368, 25487, 27219, 25609, 27327, 25738, 27437, 22511, 24137, 24262, 24391, 24502, 63964]"
113,"[3161, 4201, 3252, 4290, 3345, 4376, 4464, 27313, 27423, 27538, 24243, 24368, 24489, 24579]"
114,"[3162, 4206, 3255, 4292, 3346, 4375, 3443, 4462, 27312, 27420, 27535, 24237, 24364, 24484, 24576]"
115,"[3168, 3260, 3353, 3450, 25597, 23903, 25729, 25861, 22594, 22710, 22800, 22903]"
116,"[4121, 3169, 4208, 3258, 4294, 3350]"
117,"[3221, 3316, 3416, 3521, 25829]"
118,"[3222, 4263, 3314, 4350, 3412, 4439, 3515, 4523, 27517, 27636, 27783, 24434, 24529, 24655]"
119,"[3238, 3335, 3430, 3532, 25719, 25843, 25968, 22687, 24340, 22779, 24455, 22880, 22975]"
120,"[3302, 4346, 4433, 4518, 29324, 27631, 29443, 27776, 24426, 24524, 24645]"
121,"[3304, 4333, 3402, 4423, 3510, 4510, 25946, 27630, 27778, 24429, 24526, 24648]"
122,"[3306, 3400, 3509, 25944, 26074, 22847, 22946]"
123,"[3538, 3634, 3717, 3803, 25031]"
124,"[3539, 4614, 3632, 3713, 3795, 25096, 23413, 25174, 25247, 25328, 64480, 64032, 64536, 64070, 64119, 81798, 93708, 249699]"
125,"[103725, 3559, 3638, 3718, 3797, 25155, 23488, 25236, 25319, 25404, 64568, 64623, 82018, 81813, 93852, 93723, 93884, 93885]"
126,"[103715, 4556, 3562, 4633, 3644, 4707, 3727, 4774, 3811, 25028, 25108, 25191, 25263, 53241, 64496, 64551, 81972, 82005, 93846, 93968, 249630]"
127,"[103733, 3566, 3647, 3724, 3805, 25095, 23414, 25171, 23500, 25245, 25326, 64528, 64065, 64580, 81988, 81793, 82033, 81825, 93862, 93731]"
128,"[103765, 3590, 3668, 23376, 23449, 23530, 23619, 53111, 64049, 81595, 81782, 93563]"
129,"[103766, 3607, 24883, 23220, 24940, 25008, 25083, 53047, 53199, 74466, 93667, 236607, 239110, 242036, 245512, 251118]"
130,"[103800, 3611, 24925, 23278, 24989, 23330, 25065, 23396, 25136, 53080, 81765, 93685, 242009, 245485, 249745]"
131,"[3686, 3765, 3850, 3923, 23567, 23649, 23731, 23809, 64097, 64134, 64187, 81636, 93609]"
132,"[3690, 3775]"
133,"[4778, 3816, 4852, 3888, 4921, 4999]"
134,"[4785, 3822, 4853, 3894, 4917, 3961, 4991, 4043, 5072, 4118, 25426, 25552, 25682, 25812, 64731, 64793, 64866]"
135,"[4783, 3823, 4857, 3897, 4925, 3971, 4056, 25274, 25358, 25457, 25578, 64653, 64719, 82037, 93897]"
136,"[3824, 3896, 3968, 4051, 25347, 23687, 25438, 23773, 25565, 23879, 25701, 23992, 64194, 64260, 64326, 81855]"
137,"[3828, 3902, 3976, 25285, 23628, 25372, 23713, 25470, 25590, 64126, 64178, 64231, 81838, 93740, 93781]"
138,"[4790, 3830, 4865, 3900, 4932, 5010, 25278, 25364, 25463, 25586, 64654, 64721, 82036, 82069, 93896]"
139,"[3938, 4961, 4012, 5040, 4088, 5117, 4162, 4252, 28928, 25639, 25771, 25907, 26035, 64882, 64968]"
140,"[4891, 3945, 4966, 4024, 5047, 4099, 4176, 25518, 25652, 25783, 25924, 64834, 64918]"
141,"[3946, 4026, 4105, 4188, 25414, 23754, 25541, 23861, 23970, 24093, 64242, 64315, 64378, 81907]"
142,"[4897, 3947, 4971, 4025, 5050, 4102, 5128, 4179, 25525, 25658, 25786, 25927, 64769, 64841, 64925]"
143,"[4834, 4905, 3950, 4983]"
